name,coords,type,category,tags,address,website
elriko - Feine Kost,"48.017128516345785, 9.500186835369291",Lebensmittel,Einkaufen,"bio, fair, regional",Hauptstraße 53,https://www.elriko.de/
Invito Damenbekleidung,"48.016817930124766, 9.500530283879591",Mode und Bekleidung,Einkaufen,bio,Hauptstraße 57,https://invito.store/
Saulgau Markt,"48.01836572308336, 9.499234013853924",Lebensmittel,Einkaufen,,Fuchsgasse 6,
Tchibo ,"48.01724028703773, 9.499783717597074",Lebensmittel,Einkaufen,"bio, fair",Hauptstraße 64,https://www.tchibo.de
Schuhaus Zembrod,"48.01717895198928, 9.49983931758455",Mode und Bekleidung,Einkaufen,fair,Hauptstraße 66,https://www.schuhhaus-zembrod.de
boys and girls ,"48.01714953892083, 9.499837905276966",Mode und Bekleidung,Einkaufen,fair,Hauptstraße 68,http://boys-and-girls-kinderschuh-bad-saulgau.de
PUNKT. Männersache,"48.01631278730279, 9.501009703484348",Mode und Bekleidung,Einkaufen,bio,Hauptstraße 71,https://www.punkt-maennersache.de
Bäckerei Bussen-Bäcker Traub,"48.009642241924055, 9.497567010659044",Bäckerei,Einkaufen,regional,Gerhart-Hauptmann-Str. 2,https://www.baeckerei-traub.de/
Bäckerei Bussen-Bäcker Traub,"48.016001049154326, 9.501469545181314",Bäckerei,Einkaufen,regional,Hauptstraße 77,https://www.baeckerei-traub.de/
Boutique AnnLuis,"48.01561737165409, 9.501870943619378",Mode und Bekleidung,Einkaufen,,Hauptstraße 87,http://www.annluis.de/
Metzgerei Manfred Frick,"48.01594627573866, 9.501526384235921",Lebensmittel,Einkaufen,regional,Hauptstraße 77,https://www.metzgerei-frick.de/
Crazy Style Damenbekleidung,"48.016709303960326, 9.499289426858178",Mode und Bekleidung,Einkaufen,,Bachstraße 7,https://www.facebook.com/AbendmodeCRAZYSTYLE/?_rdr
Deichmann Schuhe,"48.02145682923091, 9.494574087527726",Mode und Bekleidung,Einkaufen,,Friedrich-List-Straße 10,https://stores.deichmann.com/de-de/index.html
Queens,"48.016379738767995, 9.50073056884219",Mode und Bekleidung,Einkaufen,"bio, fair",Hauptstraße 82,
SecondHandBoutique,"48.01768185807643, 9.50074150438849",Mode und Bekleidung,Einkaufen,,Kirchplatz 6,https://saulgau.github.io/shb/
Leomi Boutique,"48.01604342230168, 9.501068438567327","Basteln, Spiel- und Schreibwaren",Einkaufen,"fair, regional",Hauptstraße 90,https://www.leomibabykidsboutique.de/
G.I. Women Mode,"48.016731226213324, 9.500565504407998",Mode und Bekleidung,Einkaufen,,Hauptstraße 61,
Hummler Lederwaren,"48.01585553583424, 9.5013216144796",Mode und Bekleidung,Einkaufen,,Hauptstraße 92,
Weltladen,"48.0157446835795, 9.501355988703606",Lebensmittel,Einkaufen,"bio, fair",Hauptstraße 94 ,https://www.fairhandelshaus.de
KIK,"48.00847394005132, 9.507516784980286",Mode und Bekleidung,Einkaufen,"bio, fair",Platzstraße 22,https://www.kik.de/
Näh-Ecke,"48.01446767735534, 9.50285163541929","Basteln, Spiel- und Schreibwaren",Einkaufen,"bio, fair, regional",Hindenburgstraße 1,https://www.naeh-ecke.de/
La Vie,"48.015872561542324, 9.50106821435271",Mode und Bekleidung,Einkaufen,,Werderstraße 1,
Bäckerei-Konditorei-Café Bochtler,"48.01680434215466, 9.502505322075903",Bäckerei,Einkaufen,"fair, regional",Kaiserstraße 58,https://baeckerei-konditorei-bochtler.de/
La Boom Mode,"48.017798703636466, 9.499571319951505",Mode und Bekleidung,Einkaufen,"bio, fair",Kreuzgasse 2,https://www.la-boom.com
Kleinod wohnaccessoires,"48.0169709088453, 9.498702760286097",Wohnen und Deko ,Einkaufen,regional,Lindenstraße 2 ,
Fressnapf Bad Saulgau ,"48.02060713072054, 9.495879349653055",Spezialbedarf,Einkaufen,bio,Max-Eyth-Straße 10,https://www.fressnapf.de/stores/fressnapf-bad-saulgau/
Schuh Schweitzer,"48.01746910015252, 9.499163629998119",Mode und Bekleidung,Einkaufen,,Marktplatz 3 ,https://schuh-schweizer.de/
Rewe,"48.01996384552362, 9.4958046109963",Lebensmittel,Einkaufen,"bio, fair, regional",Max-Eyth-Straße 6,REWE Markt Bad Saulgau - Max-Eyth-Str. 6
Step by Step Schuhe,"48.016121691793586, 9.501000621702484",Mode und Bekleidung,Einkaufen,fair,Hauptstraße 88,
Takko Mode,"48.00915385734447, 9.505370492141514",Mode und Bekleidung,Einkaufen,fair,Altshauser Straße  10,https://www.takko.com/de-de/stores
Augenoptik Nerlich ,"48.01770348944161, 9.498423402092783","Optik, Schmuck und Foto",Einkaufen,,Hauptstraße 46 ,https://www.nerlich-augenoptik.de/
Bollmannhaus ,"48.01732684830592, 9.498900261879939","Optik, Schmuck und Foto",Einkaufen,,Hauptstraße 52,https://www.bollmannhaus.de/
Fielmann ,"48.016980967496885, 9.500003482122047","Optik, Schmuck und Foto",Einkaufen,,Hauptstraße 72,https://www.fielmann.de/niederlassungen/bad-saulgau
Fokus Fotografie ,"48.001402400866034, 9.547007466127937","Optik, Schmuck und Foto",Einkaufen,,Vogelsangweg 5 ,https://fokusfotografie.de/
Foto Mielke ,"48.01600428352034, 9.50107222630393","Optik, Schmuck und Foto",Einkaufen,,Werderstraße  1,foto-mielke.de
Pro Optik ,"48.01675026341938, 9.500288108010976","Optik, Schmuck und Foto",Einkaufen,,Hauptstraße 76,https://www.prooptik.de/optik-zentrum/bad-saulgau
Baywa Agrar,"48.01282304727832, 9.50066918397658",Spezialbedarf,Einkaufen,"bio, fair, regional",Paradiesstraße 35,https://www.baywa.de
Baywa Baustoffe,"48.024615480424615, 9.497249797467967",Spezialbedarf,Einkaufen,regional,Martin-Staud-Straße 24,https://www.baywa-baustoffe.de
